A000002	a[ n_] := If[ n < 3, Max[ 0, n], Module[ {an = {1, 2, 2}, m = 3}, While[ Length[ an] < n, an = Join[ an, Table[ Mod[m, 2, 1], { an[[ m]]} ]]; m++]; an[[n]]]] (* _Michael Somos_, Jul 11 2011 *)	[1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2]
A000217	   For[d = 1, d <= 9, d++, digit[d] = 1.0 digit[d]/num];	[0, 1, 3, 6, 10, 15, 21, 28, 36, 45, 55, 66, 78, 91, 105, 120, 136, 153, 171, 190, 210, 231, 253, 276, 300, 325, 351, 378, 406, 435, 465, 496, 528, 561, 595, 630, 666, 703, 741, 780, 820, 861, 903, 946, 990, 1035, 1081, 1128, 1176, 1225, 1275, 1326, 1378, 1431]
A000246	a[n_] := a[n] = (n-2)*(n-3)*a[n-2] + a[n-1]; a[0] := 0; a[1] := 1; Table[a[i], {i, 0, 20}] (* or *)  RecurrenceTable[{a[0]==0, a[1]==1, a[n]==(n-2)*(n-3)a[n-2]+a[n-1]}, a, {n, 20}] (* _G. C. Greubel_, May 01 2015 *)	[1, 1, 1, 3, 9, 45, 225, 1575, 11025, 99225, 893025, 9823275, 108056025, 1404728325, 18261468225, 273922023375, 4108830350625, 69850115960625, 1187451971330625, 22561587455281875, 428670161650355625, 9002073394657468125, 189043541287806830625]
A000256	r = Root[x - t*(t - 1)^2, t, 1] ; CoefficientList[ Series[(2*r^3 + 2*r^2 - 2*r - 1)/((r - 1)*(r + 1)^2), {x, 0, 24}], x] (* _Jean-François Alcover_, Mar 14 2012, after Maple *)	[1, 1, 0, 1, 3, 12, 52, 241, 1173, 5929, 30880, 164796, 897380, 4970296, 27930828, 158935761, 914325657, 5310702819, 31110146416, 183634501753, 1091371140915, 6526333259312, 39246152584304, 237214507388796, 1440503185260748]
A000653	   lcm = LCM[lcm, product[[ipr]]];	[2, 7, 1172, 36325278240, 18272974787063551687986348306336, 244766458691906180755079840538506099505695351680436638205950721844523539763881615360]
A000653	   prx *= product[[ipr]];	[2, 7, 1172, 36325278240, 18272974787063551687986348306336, 244766458691906180755079840538506099505695351680436638205950721844523539763881615360]
A000707	Table[SeriesCoefficient[ Series[Product[Sum[x^i, {i, 0, k}], {k, 0, n}], {x, 0, 20}], n], {n, 1, 20}] (* _Geoffrey Critzer_, Apr 01 2010 *)	[1, 1, 2, 6, 20, 71, 259, 961, 3606, 13640, 51909, 198497, 762007, 2934764, 11333950, 43874857, 170193528, 661386105, 2574320659, 10034398370, 39163212165, 153027659730, 598577118991, 2343628878849, 9184197395425, 36020235035016, 141376666307608]
A000707	a[ n_] := SeriesCoefficient[ Product[ Sum[ x^i, {i, 0, k}], {k, 0, n}], {x, 0, n}]; (* _Michael Somos_, Aug 15 2016 *)	[1, 1, 2, 6, 20, 71, 259, 961, 3606, 13640, 51909, 198497, 762007, 2934764, 11333950, 43874857, 170193528, 661386105, 2574320659, 10034398370, 39163212165, 153027659730, 598577118991, 2343628878849, 9184197395425, 36020235035016, 141376666307608]
A000956	a[n_] := a[n] = If[EvenQ[n], 3*a[n-1]^2 + 8*a[n-1] + 6, 3*a[n-2]^3 + 12*a[n-2]^2 + 17*a[n-2] + 8];	[2, 17, 40, 5126, 211888, 134691268742, 28539643139633848, 2443533691612948322627563638932102, 69737579558305654640845711279133047105190578109248]
A001098	NestList[FromDigits[IntegerDigits[2#,2]]&,1,5] (* _Harvey P. Dale_, Sep 18 2018 *)	[1, 10, 10100, 100111011101000, 101101100001100111010010100000100111001010010000]
A001266	CoefficientList[Series[((Exp[(1 + x)/((-1 + x) x)] (1 + x) Gamma[0, (1 + x)/((-1 + x) x)])/((-1 + x) x) - x - 1)/(2 x), {x, 0, 20}], x] (* _Eric W. Weisstein_, Apr 11 2018 *)	[0, 0, 1, 7, 45, 323, 2621, 23811, 239653, 2648395, 31889517, 415641779, 5830753109, 87601592187, 1403439027805, 23883728565283, 430284458893701, 8181419271349931, 163730286973255373, 3440164703027845395, 75718273707281368117, 1742211593431076483419]
A001387	a[1] := 1; a[n_] := a[n] = FromDigits[Flatten[{IntegerDigits[Length[#],2], First[#]}& /@ Split[IntegerDigits[a[n-1]]]]]; Map[a, Range[20]] (* _Peter J. C. Moses_, Mar 24 2013 *)	[1, 11, 101, 111011, 11110101, 100110111011, 111001011011110101, 111100111010110100110111011, 100110011110111010110111001011011110101, 1110010110010011011110111010110111100111010110100110111011]
A001388	a[1] := 1; a[n_] := a[n] = FromDigits[Flatten[{IntegerDigits[Length[#],3], First[#]}& /@ Split[IntegerDigits[a[n-1]]]]]; Map[a,Range[25]] (* _Peter J. C. Moses_, Mar 24 2013 *)	[1, 11, 21, 1211, 111221, 1012211, 1110112221, 101102110211, 111021101221101221, 1011012211011222110112211, 1110211011222110211022110212221, 10110122110211022110122110222110121110211]
